511,505.31,505.93,740,724,728.75,481.94,466.92,468.58,309.25,303.25,306.3,3094,3025,3032.75,797,778,780.35,197.05,194.2,194.6	334.9,330,330.55,1273.5,1251,1261.2,219.1,213.7,216.7,497.95,483,493.05,2193.7,2146,2167.05,346.2,334.35,343.45,440.8,432,433.05	357.6,350.55,351.75,157.85,153.5,154.15,1519.9,1495.3,1498.45,347.21,337.03,338.5,1122.75,1105.1,1115.55,199.35,195.5,195.9,1083.95,1065.4,1070.15
508.95,504.4,507.93,732.45,718.25,730.15,482.58,468.23,480.88,322.9,306.6,321.55,3082,3040,3069.75,793,774.1,785.35,195.75,194.05,195.3	337.2,330.5,335.95,1283.8,1255,1277.9,216.5,207.5,209.1,496.9,488,494.3,2187.8,2143.05,2178.85,347.9,339.35,345.6,438.45,429.6,434.65	353.8,348.6,352.05,155.15,151,151.25,1514.7,1477,1483.55,342.5,334.25,337.11,1124.8,1105,1115.8,202.2,196,200.8,1102.5,1072.95,1096.3
507.2,495.8,497.62,733.7,724,728.3,484.9,477.23,480.62,322.65,314.7,316.7,3107.6,3043,3087.5,811.05,782.15,807.35,196.3,194.8,195.6	346.6,328.2,329.8,1271.5,1256,1262.8,209.7,203.4,204.85,493.75,486.25,488.85,2180.25,2152,2167.6,346.1,342,344.25,440.8,433.55,437.85	352.3,343.5,344.5,152,148.55,148.9,1487,1469,1482.55,339.65,336.64,338.36,1124.9,1107.25,1111.4,202.55,199,199.65,1112,1088.1,1095.3
499.4,485,486.86,731.45,715.05,717.65,483,469.79,472.69,318.45,308,309.9,3100,3053.5,3063.2,827,809.75,816.65,196.15,193.4,194.05	328.5,318,319.2,1272.8,1241.2,1245.4,207.2,201,202,499.45,487.6,490.2,2175,2128.25,2136.55,349.8,337.6,340,440.6,430.6,431.9	347.9,333,334.35,150.15,145.5,146.15,1494,1473,1477.65,339.73,330.38,332.09,1119.9,1084,1088.45,202.15,197,197.65,1096.05,1066.15,1072.9
488.76,476.02,477.97,730.25,712,715.75,478.09,464.11,466.06,310.4,301,302.6,3052,3001.7,3010.25,818,772,777.25,195.25,192.55,192.9	318.95,306,308,1242.95,1202.4,1208.7,202.25,190.6,191.45,490.85,475.15,479.15,2134,2076,2082.65,342.7,331.3,334.2,434,423.65,425.55	343,328.55,332,145.5,139,140.2,1479,1450.1,1459.95,334.68,325.5,327.39,1094.6,1062,1067.85,196.6,191.3,191.9,1078,1056.2,1061.7
482.4,472.61,480.86,716.8,704.4,714.35,479.26,460.44,477.36,305.55,298.15,304.45,3044,2985.2,3032.55,808.25,770,805.2,193.25,190.25,190.95	313.25,307,311.4,1239.7,1203,1227.65,197.2,189.15,196.6,488,472.05,484.55,2095,2047,2088,344.7,331.95,341.75,437.7,420.55,434.2	346.55,327,345.45,136.9,131.2,136.05,1462.35,1428.55,1442.85,333.25,322.44,330.45,1073.85,1044.35,1060.8,196.2,190.6,195.4,1083.95,1057.5,1071.15
482.58,464.44,466.52,721.95,696.1,698.8,479.37,463.21,474.52,305.75,295.85,298.3,3027.45,2940.25,2973.1,807.8,775.7,780.9,191.3,186.8,187.4	320.7,311.1,314.2,1244.9,1196,1205.6,197.75,188.8,190.65,487.5,474.5,482.4,2094,1994.2,2007.95,343.1,332.6,339.6,436,418.75,422.25	346,334.1,339.9,137.5,132.2,133,1456,1389.15,1406.35,331.49,320.25,323.99,1062.8,1031,1033.55,195.1,187.4,189.5,1071.15,1042.65,1049.3
474,464.04,466.09,715.7,696.8,704.05,484.36,466.07,470.47,303.65,295.35,301.1,3035.8,2963.75,3017.5,792,762.85,785.25,190.8,186.9,188.8	327.8,315,326.1,1211.4,1143.7,1171.55,194.4,183.75,189.4,489,466.2,481.55,2062.45,2003.35,2052.8,344.5,331.1,342.7,425.05,416.5,421.1	357.3,338.8,354.75,134.75,127.5,130.15,1444.9,1370.1,1439.15,327.09,314.55,322.05,1047.9,1018.15,1039.15,191.5,184,190.8,1070,1045.6,1049.35
467.9,447,451.62,709,691.65,695.25,468.82,458.2,460.76,306.2,298.1,300.05,3015,2935.05,2961.3,787.5,750,754.5,189.15,183.7,184.35	342.35,326,328.7,1176.25,1145,1152.4,190.55,182.75,184.75,479.6,457.7,461.8,2076,2029.1,2041.15,348.2,327,331.45,420.7,398,402.5	357.1,338.3,342.35,130.5,125.15,126,1434.9,1404,1410.05,322.76,313.89,316.34,1041.9,989,997.35,190.7,185.65,186.95,1052.05,1006.25,1017.55
457.6,447.54,455.92,719.2,699.85,717.1,478.77,460.82,476.33,303.45,297.75,300.4,3069,2977,3040.8,772.7,737.65,767.8,186.25,182.2,184.05	339.8,331.8,336.8,1192.5,1148.35,1183.75,193.9,185.2,193.2,483.1,462.65,481.2,2064,2032.1,2041.4,336.5,328.5,334.7,419.75,396,418.3	350.8,338.7,348.35,130.5,123,130.2,1434,1390,1426.85,325.75,310.01,324.24,1017.4,999,1012.1,190.8,186.6,189.4,1043.4,1012.5,1041.05
454.2,444.31,451.87,714.9,695.4,701.7,476.47,459.52,474.33,302.3,294.55,300.3,3057.8,2980,3019.2,779.8,744.5,762.5,183.25,177.65,180.35	333.55,320.35,329.7,1178.4,1129.25,1159.25,192.15,182.7,189.2,481.35,467,478.7,2049.2,1982.5,2043.1,332.9,321.1,327.15,421.5,408,416.85	347.85,332,346,134.85,127.3,133.7,1453.5,1395,1442.1,324.19,311.53,318.23,1007.7,974.15,995.8,188,178,183.7,1046.5,1013,1032.15
457.8,438.39,440.68,705.1,684,689.65,474.99,458,462.31,302.5,298.15,299.4,3037,2979,2994.05,798.8,768,785.25,182.4,177.6,178.85	337.5,330.05,331.5,1178.15,1118.9,1131.85,193.95,182.1,185.95,485.5,469.95,473.75,2040.5,2006.2,2018.65,333,321.65,323.75,416.2,406.7,408.9	347.9,338.2,340.75,136.35,134.1,135.1,1469.4,1408.1,1423.15,320.28,308.78,311.93,1017.2,987.8,995.6,184.85,177.5,178.75,1033,1003.05,1007.8
447.71,432,433.73,708.7,687.7,699.15,472.18,459.1,467.55,302.85,296.5,299.15,3117.7,3019,3083.2,804.65,773.7,785.2,183.25,178.1,179.05	342.65,334.1,338.65,1164.25,1111.15,1126.2,189,181.5,183.7,482,456,462.65,2033.9,1913.05,1947.4,327,315.5,318.95,423.95,405,410.55	344.9,335.25,338.05,137,130,132.55,1431.45,1380,1389.1,316,301.75,306.84,1010,985,990.3,181,168,170.4,1047,1013,1033.35
436.76,413.31,422.52,701.5,678,686.2,469.45,458.6,462.66,301.4,292.3,294.6,3125.7,3050.05,3062.25,792.8,755,762,180.3,176.75,178.3	341.1,330.1,335,1159,1101.35,1132.6,186.9,169.35,181.15,474.85,438,462.35,1977.6,1920,1939.1,320.4,295.05,299.95,414.45,402,410	345.9,328.2,341.3,133.15,110.9,123.3,1393.4,1341.6,1369.6,311.5,297.75,308.65,997.5,966.55,970.9,176.25,169.4,174.6,1059.8,1035.5,1051.85
440,422.14,432.53,699.45,688.35,695.8,465.99,458.8,461.25,300.5,295.25,298.4,3112,3064,3072.8,778.45,748.15,773.65,181.9,179.1,180.5	342.35,334.6,340.1,1170,1140,1160,183.75,178.6,182.45,479.9,452.1,466.85,1984.9,1942.85,1967.35,313.8,288,311.85,422.35,411.5,418.95	345.9,338.5,340.25,122.9,117.5,120,1422,1370.4,1413.6,310.95,305,308.58,1007.5,970,1002.05,179.9,172.2,178.95,1083,1056.95,1074.2
444.2,429.55,441.76,696.65,680.35,689.65,468.93,452.95,459.83,301.3,294.7,299.35,3084,3020,3060.05,784.95,759.45,769.5,185.9,179,184.85	362.85,337.4,360.35,1164.85,1135.1,1152.1,188,179.05,187.3,481.05,456.1,477.75,1961.55,1921.95,1958.25,313.25,303,308.25,425.95,414,422	346.9,336.7,345,121.8,118,120.35,1431,1370.5,1424,311.08,305.25,310.36,1015,986.25,993.95,180,173.55,177.45,1088.6,1058.3,1078.35
445.99,436.5,444.31,704.8,688,702.15,476.77,456.7,474.49,300.95,296.75,298.6,3072.95,3040.8,3055.9,809.5,770,805.45,187.75,182.85,186.9	358,345.7,352,1186.95,1151.2,1176.15,191.6,186.75,190.3,487.9,478,481.55,2046.95,1951.3,2033,307.25,295.5,301.6,423.5,415.2,417.6	373.7,345,367.1,132.8,120.6,131.6,1449,1410.1,1423.45,324.65,309.5,320.64,1004,985,996.3,183.3,177.9,182.35,1094.4,1069.75,1081.05
450.56,441.42,443.46,710.85,702,706.7,482.76,471.45,481.37,300.6,296,297.55,3122.25,3035.5,3107.15,814.85,782,792.7,188.7,182.85,183.95	355.2,345.25,347.95,1208.45,1182.3,1199.3,194.35,188.3,189.8,493,480,490.6,2059,2008,2017.2,307.75,298,304.85,432.4,419.1,428	371.8,359.15,365.8,136.6,132,134.5,1439,1409.95,1417.85,335.68,323.9,325.9,1017.8,1000,1015.2,190,181.6,182.85,1103,1075.15,1098.3
447.66,440.22,443.52,709.8,696.2,699.25,482.65,475,480.86,306.3,297.7,301,3150.9,3104.95,3132.95,804.9,790,800.6,186.4,183.85,185.6	356.3,346,348.25,1198,1173.3,1189.95,191.2,185.3,186.05,492.75,483.15,486.55,2039.1,2001,2030.1,312.65,301,308.75,434.55,425.4,428.85	376.4,364.5,372.2,136.1,125.65,130.65,1426.95,1393.5,1400.15,329.75,321.38,323.59,1027.4,1001,1011.4,184.2,180.85,182.95,1116,1093.05,1102.1
453.8,443.27,447.51,713.7,701,704.55,486.8,475.61,477.38,304.8,299.5,300.65,3181,3134,3148.25,811.45,792.55,795.2,189.3,186.15,187.3	352.5,345.6,347.05,1202.45,1151,1157.35,188.6,181.05,181.5,496,475,479.95,2055.5,2006,2016.6,314.85,302.35,303.8,437.25,429.1,430.75	380.8,370.1,371.15,132.5,128,129.45,1421,1393.5,1410.9,328.5,323.13,324.44,1035,1014,1021.5,188,182.5,184.7,1114.9,1098.05,1104.95
451.86,444.82,450.12,708,696.2,704.65,478,468,473.73,302.55,297.15,297.9,3197.6,3144.95,3180.35,806.8,793.9,805.2,192.9,187.35,191.85	356,347.15,351.55,1154.8,1108.05,1119.9,183.4,177.35,181.7,482,465,467.65,2040,1986,2032.7,311,302.7,309.95,438.7,432.65,437	374.6,365.1,372.95,130.5,126.85,129.35,1448,1412.1,1437.8,331.75,325.4,330.28,1042.8,1020.5,1036.1,185.7,181,184.45,1104.75,1088.75,1096.1
450.8,445.78,448.09,703,682.6,685.15,471.2,455.16,457.69,298.85,294.55,297.3,3169.7,3126,3143.85,800.1,786,790.2,191.85,189,191.25	354.95,346.7,349,1119.75,1093.1,1111.15,180.25,174.3,175.85,470,456.5,467.6,2026.85,1995,2005.85,307.6,300.2,304.4,440.75,432.9,435.9	374,368.1,369.75,128.9,124.1,125.2,1444.95,1396.05,1418.85,333.5,329.59,330.84,1032.45,1014,1023.5,184.3,177.8,178.95,1098,1079.7,1087.55
452.47,442.4,446.29,687.05,665.2,673.35,458.54,446.6,449.63,298.65,283.75,289.2,3191.6,3148.1,3155.7,795,754.1,760.9,192,186.8,187.85	350.05,337.25,339.95,1129,1052.6,1065.05,175.65,165.3,165.95,472,442.65,455.9,2018.85,1937.6,1946.45,306.35,292,294.8,443,432.5,436.8	370.8,346.75,350.8,124.7,116.55,117.85,1419.9,1370.15,1377.2,333,316.56,324.7,1036.4,981.3,986.8,180,173.5,174.65,1103.85,1075.55,1079.9
459.8,432.99,457.73,676,662.05,673.2,449.4,436.85,447.3,298.75,290.25,297.2,3174.6,3128,3161,786,752,781.45,194.45,187.2,192.4	339.7,326.95,333.35,1128.7,1048.65,1120.7,174.5,162.3,172.9,480,453,474.9,1994.75,1930,1958.9,305.25,289.1,299.7,453.5,434.2,451.05	368.1,338,348.9,126.75,112.95,125.35,1414,1361,1409.25,327.26,321.64,324.9,1032.5,983.9,1027.05,177.5,172.1,176.95,1091.5,1065,1083.25
468.8,455.45,468.06,695.7,671,694.45,451.91,438,450.74,302.9,295.65,301.55,3167,3085.25,3155.05,786.8,760.25,773.05,198,191.4,196.7	335.75,324,333.95,1131,1087.7,1124.1,176.95,171,176.55,478.8,455.9,471,1986.9,1927.4,1977,305,296.85,302.95,454,439.05,450.2	361,348,357.7,127.45,121.4,124.75,1432.25,1394.1,1424.85,327.18,320.01,324.5,1051.45,1012,1048.7,183.3,175.8,181.95,1085.4,1053.35,1081.6
472.39,464,466.74,697.75,686.05,693.45,457.17,444.4,450.18,302.05,298.1,299.2,3179,3138.25,3165.85,770,756.65,762.95,199.9,196.65,199.45	338.2,329.2,336.1,1136.35,1109.1,1125.7,177.65,174.05,177.3,475,463.25,470.5,2013.9,1980.3,2007.45,308,300,305.85,456.75,446,454.9	363.8,356.55,360.35,126.85,124.05,126.55,1428.95,1408,1415.25,326.88,323.3,324.66,1062.45,1044,1056.9,185.95,182.65,183.4,1094.9,1069.2,1088.35
465.34,461.12,463.17,696.7,680.55,686.5,448.4,431.03,433.67,301.5,297,299.45,3216.25,3165,3203.8,771.9,749.15,754.65,200,194.75,197	342.9,335,340.1,1110.7,1074.15,1079.75,177.4,171.05,172.8,468.8,445.6,451.6,2024.8,1988.65,2003.85,307.35,298.35,300.45,460,452.25,459.05	360.55,350,355.25,127.2,124.8,126.4,1412.05,1390,1396.95,328.5,320.25,323.33,1066.5,1039,1056.25,183.8,177.3,179.15,1111,1087.35,1107.6
467.7,450.3,463.93,692.6,674.25,689.7,446.4,431.93,442.91,300.45,294.5,295.3,3315,3220,3305.15,753.5,725.1,736.8,199.75,196.1,198.2	347.4,341,345.6,1116.8,1070.9,1109.75,173.7,168.8,171.95,469.9,449,467.2,2010,1977,1994.7,302.25,291.35,296,476,458.1,471.45	360.4,350.95,358.75,128.65,123.15,127.4,1401.15,1356.95,1375.8,327.45,318.05,326.1,1064.3,1042,1060.8,189.7,178.35,189.05,1146.8,1109.5,1143.65
468,460.01,464.44,702,681.6,693.7,441.18,432,435.91,296.75,290.05,295.75,3369.75,3270,3353.55,756.45,727,747.55,198.5,193.05,193.85	343,335.65,336.8,1120.5,1092.8,1100.7,177.35,171,175.05,467,450.65,452.3,2014.75,1972.9,1981.4,297,288.1,290.25,481.3,463.9,478.6	368.8,358.3,366.85,127.2,124.5,125.75,1411.7,1344,1403.6,328,324.4,326.54,1069.9,1048.75,1058.3,193.9,187.1,192.2,1179,1120.1,1168.45
468.8,464.67,465.81,704.9,694.5,700.8,445.58,435.45,444.61,297,293.25,294.65,3373.7,3322.1,3340.75,761.5,750,758.7,194.6,190.35,192.75	338.8,331.3,333.85,1143.95,1107.4,1140,180.6,172.35,179.45,461.5,452.1,457.5,1998.95,1974.85,1984.3,304.2,290.9,302.95,495.3,480.4,485.15	372.1,364.35,366.4,127.95,125.6,127.45,1447.45,1405.25,1425.2,327.25,324.55,325.64,1074.55,1060,1073.3,196.6,192.5,194.9,1174,1158.15,1165.8
469,463.58,467.17,704.75,696,697.95,449.76,436.19,437.87,296.15,293.9,294.6,3365.4,3325.2,3343.85,767,755.95,759.1,194.3,192.65,193.7	344.75,334.3,343.8,1147.8,1121.3,1133,182.4,176.55,178.55,461.85,454.1,456.75,1995,1956,1963.55,309.9,303,306,485.2,475.2,478.4	367,358.6,363.05,128.65,125.2,126.2,1430.45,1387,1395.8,329.73,326.23,327.53,1076.6,1050.25,1056.95,196.2,192.8,195.4,1173.5,1144.25,1155.8
467.4,460.47,462.83,704.4,697.5,702.9,442,436.12,439.87,295.9,292.05,292.55,3377.85,3335,3369.4,764,746.35,754.1,196.4,192.75,196.1	348.4,341.6,344.55,1141.25,1124.5,1132.7,179.75,177.15,178.05,457.7,448.05,450.8,1972.65,1934.1,1938.95,312.25,306.1,310.15,487.4,478.4,481.2	364.95,359.25,361.2,127.2,125.4,126.05,1401.5,1383.5,1391.4,328.28,323.33,325.84,1065.75,1051.6,1061.15,195.8,185.25,186.75,1163.85,1137.7,1145.65
465.5,454.2,459.45,704.5,695.1,702.35,446.75,436.4,445.7,296.95,291.55,296.45,3389,3350.05,3377.15,768.95,745.1,765.1,198.85,195.7,198.45	352.7,340.6,350.35,1133.7,1115.4,1124.25,178.25,175.15,176.4,454.9,447.45,453.1,1967.9,1933.6,1963.05,318.4,307.55,316.9,486.9,477.7,484.2	367.3,356.3,365.45,127.5,124.6,127.3,1402.85,1367.6,1392.5,326.18,321.64,325.46,1068.3,1051.1,1064.65,188.65,178.4,185.65,1153.9,1131,1146.5
463.94,458.7,459.76,705.55,696.4,697.9,447.34,440.99,443.18,298.3,295.1,297.75,3400.7,3368.7,3386.5,768.9,757.6,760.95,199.8,196.9,197.1	352.65,342.15,342.95,1138.2,1121.75,1127.4,178,174.7,175.35,457,444.95,447.55,1987.6,1948.15,1954.4,322.7,316.65,320.2,487.6,483.4,485.6	372.1,365.05,370.65,130.2,126.55,128.3,1406.5,1387,1395.25,327.19,324.01,326.23,1070.8,1052.8,1057.3,186.9,176.5,177.9,1162.8,1142.2,1144.15
461.59,458.16,460.69,703.8,695.75,702,454.3,443.38,452.08,298.45,294.9,295.65,3399.8,3371.5,3392.65,770.5,753.25,765.05,198,196.5,196.95	346.85,342.45,343.6,1128.5,1112.5,1116,176.95,173.95,175.65,454.3,446.4,450.9,1960,1941.3,1946.8,325.2,319.5,322.15,496.5,487.95,491.65	374.5,366.8,371.5,127.95,126.35,127,1409.5,1389.25,1400.65,325.55,322.25,323.14,1061.35,1045.05,1050.95,180.35,176.6,177.3,1154.1,1141,1149.05
462,457,461.21,720.35,701.55,718.65,467.6,451.43,466,305.7,295.1,304.9,3418.5,3379,3409.9,774,756,772.6,198.25,196.95,197.9	354.75,344.4,354,1133.55,1111.05,1130.85,178.4,175.6,177.65,454.1,447.65,449.8,1964.9,1939,1960.55,324.9,320.15,323.15,491.75,486.35,489.45	372,364.6,367.65,128.5,126.15,127.15,1427,1395.3,1421.2,326.5,322.85,326.03,1056.4,1047.8,1051,181.4,177.25,180.45,1164,1149.1,1159.75
472.6,465,470.82,733.6,722.1,731.3,469.71,460.3,463.01,311.5,305.2,310.45,3472,3418.1,3457,788.5,778.2,782.2,204.95,198.75,203.7	360.95,352,357.9,1145.75,1132.5,1139.3,179.75,177,179.1,455.75,446.6,448.6,1993.4,1974.3,1988.5,328,320.5,326.9,498.9,490.15,493.65	373.4,366.55,371.3,128.2,126.55,127.1,1434,1417.05,1421.75,327.5,323.79,326.04,1064.4,1055.9,1059.4,181.9,177,181.35,1181,1163.05,1178.2
476.17,467.05,468.59,736.5,723.45,731.25,473.8,460.82,469.86,317.05,308.75,313.95,3459.75,3415.55,3444.6,788.8,781.05,783.95,203.5,201.3,202.5	360.75,353.6,359.05,1154.95,1136.05,1149.5,183.85,178.45,183.1,459.3,446.35,456.45,2017.75,1990.1,1995.25,332.4,325.55,330.45,496.35,488.75,494.1	373.15,370.7,372,130.4,126.5,129.7,1433,1417,1423.55,327.25,323.78,324.41,1074.8,1060,1067.25,183.65,180.5,182.35,1186,1170.4,1173.7
471.48,463.14,470.22,736.95,727.6,731.9,479.2,471.26,477.81,317.85,312,315.05,3466.15,3427,3456.3,804.6,790,792.1,204,198.5,199.75	366.7,356.1,361.25,1162.65,1146.3,1148.85,186.35,182.85,183.5,463,458.55,459.15,2006,1982,1993.85,341.85,332.95,340.85,497.8,486.1,486.8	378.75,370,375.65,135.35,130.1,134.95,1452,1425.3,1432.4,327,324.5,325,1074.05,1060.55,1062.15,188,183.6,186.9,1189.6,1163,1166.1
472.4,465.6,467.79,740.9,726.2,730.7,478.99,467.76,469.17,330.35,315.55,322.2,3498.8,3459.85,3478.2,796.25,781.2,783.4,202.65,199.8,200.75	363.2,355,356.95,1153,1106,1111.6,185,179.6,180.3,466.8,459.75,461.7,2003.5,1972.55,1985.65,344.15,336.25,337.1,492.2,485,486.15	383.3,372.25,381.45,136.25,131.8,132.2,1451,1400.15,1427.6,325.93,322.53,322.89,1086.8,1063,1081.05,188.5,185.8,187.4,1172.4,1147.15,1151.75
469.59,459.21,461.9,727.1,708.55,711.3,468.16,461.62,463.34,328.95,319.1,327.4,3482.9,3453.5,3469.65,791.65,769.15,774.3,201.65,198.7,200.05	356.75,349.8,351.2,1107.9,1072,1077.35,179.9,174,174.6,466.5,448.5,450.8,2007.4,1926.5,1942.1,344.3,333.35,343.15,492.55,482.65,487.35	381.85,375.5,377.5,133.75,130.8,131.45,1436.55,1411.1,1415.45,323.5,315.65,317.99,1094.6,1073.4,1080.05,187.6,182,183.6,1170.8,1148.85,1164.1
466.38,457.28,461.6,716.9,704.7,710.4,470.2,463.31,467.87,329.8,314.2,321.2,3504,3462,3495.6,778.6,761.95,773.8,202.8,198.05,202.35	356.75,352,354.5,1083.85,1055.15,1061.25,175.3,168.7,169.1,456.9,445.65,448.1,1954.3,1880.05,1884.35,347.6,343.05,345.15,489.75,479.75,488.15	379.35,363.95,366.45,132.6,127.15,127.9,1424.95,1374.1,1380.95,318.19,306.25,308.63,1094.75,1077.1,1089.1,186.2,182.35,183.35,1191.2,1159.9,1181.35
